symbol,price,price_change,price_percent_change
DJTWW,14.74 +1.61 (+12.26%),1.61,+12.26%
DJT,22.87 +1.86 (+8.85%),1.86,+8.85%
MBLY,16.58 +1.32 (+8.65%),1.32,+8.65%
EPAC,47.02 +3.64 (+8.39%),3.64,+8.39%
SAND,7.37 +0.52 (+7.59%),0.52,+7.59%
IP,56.26 +3.43 (+6.49%),3.43,+6.49%
EGO,16.59 +0.88 (+5.60%),0.88,+5.60%
TKC,6.21 +0.32 (+5.43%),0.32,+5.43%
FMCC,6.26 +0.31 (+5.21%),0.31,+5.21%
BBAR,19.90 +0.89 (+4.68%),0.89,+4.68%
X,43.00 +1.85 (+4.50%),1.85,+4.50%
TTD,62.00 +2.66 (+4.48%),2.66,+4.48%
PRMB,33.52 +1.43 (+4.46%),1.43,+4.46%
APPF,230.33 +9.73 (+4.41%),9.73,+4.41%
ETSY,47.82 +1.96 (+4.27%),1.96,+4.27%
BMA,84.61 +3.41 (+4.20%),3.41,+4.20%
INTA,64.18 +2.56 (+4.15%),2.56,+4.15%
YPF,37.67 +1.50 (+4.15%),1.5,+4.15%
YOU,27.51 +1.01 (+3.81%),1.01,+3.81%
CVNA,221.66 +8.03 (+3.76%),8.03,+3.76%
QRVO,75.63 +2.72 (+3.73%),2.72,+3.73%
SBS,17.86 +0.64 (+3.72%),0.64,+3.72%
CLBT,20.61 +0.73 (+3.67%),0.73,+3.67%
CX,6.28 +0.22 (+3.63%),0.22,+3.63%
SOMMY,12.35 +0.42 (+3.52%),0.42,+3.52%
